web-scraper-order,web-scraper-start-url,nnn,ppp
"1635093900-1635","https://colemanfurniture.com/kids/kids-chests.htm","Raku Gray and Ebony Chest","$950.00"
"1635093900-1744","https://colemanfurniture.com/kids/kids-chests.htm","Lorenzi Black Chest","$688.00"
"1635093900-1651","https://colemanfurniture.com/kids/kids-chests.htm","Sevilla Walnut Youth Chest","$1028.00"
"1635093900-1613","https://colemanfurniture.com/kids/kids-chests.htm","Tamarack White Chest","$926.00"
"1635093900-1592","https://colemanfurniture.com/kids/kids-chests.htm","Mayville Brown Cherry Chest","$714.00"
"1635093900-1726","https://colemanfurniture.com/kids/kids-chests.htm","Scrimmage Greystone Drawer Chest","$1260.00"
"1635093900-1611","https://colemanfurniture.com/kids/kids-chests.htm","Myra Natural And Paperwhite 5 Drawer Chest","$1172.00"
"1635093900-1593","https://colemanfurniture.com/kids/kids-chests.htm","Bonanza Gray 5 Drawer Chest","$949.98"
"1635093900-1717","https://colemanfurniture.com/kids/kids-chests.htm","Beechnut Gray Chest","$739.00"
"1635093900-1688","https://colemanfurniture.com/kids/kids-chests.htm","Lennart II White Chest","$959.00"
"1635093900-1645","https://colemanfurniture.com/kids/kids-chests.htm","Thornwood Hills Rock Beaten Gray Chest","$815.00"
"1635093900-1737","https://colemanfurniture.com/kids/kids-chests.htm","Serenity Mod Gray Chest","$640.00"
"1635093900-1674","https://colemanfurniture.com/kids/kids-chests.htm","Soho Natural Wood Drawer Chest","$1129.00"
"1635093900-1554","https://colemanfurniture.com/kids/kids-chests.htm","Maribel Chest","$499.00"
"1635093900-1673","https://colemanfurniture.com/kids/kids-chests.htm","Willow Distressed Weathered Gray Lingerie Chest","$529.00"
"1635093900-1564","https://colemanfurniture.com/kids/kids-chests.htm","Huey Vineyard Chest","$499.00"
"1635093900-1750","https://colemanfurniture.com/kids/kids-chests.htm","Barnwood Brown Drawer Chest","$989.00"
"1635093900-1596","https://colemanfurniture.com/kids/kids-chests.htm","Cottage Traditions White Five Drawer Chest","$1255.00"
"1635093900-1712","https://colemanfurniture.com/kids/kids-chests.htm","Caroline White Decorative 4 Drawer Tall Chest","$1097.00"
"1635093900-1685","https://colemanfurniture.com/kids/kids-chests.htm","Louis Philippe Reddish Brown Chest","$686.00"
"1635093900-1677","https://colemanfurniture.com/kids/kids-chests.htm","Brenner Rustic Honey Chest","$887.00"
"1635093900-1626","https://colemanfurniture.com/kids/kids-chests.htm","Beechnut Natural Chest","$704.00"
"1635093900-1569","https://colemanfurniture.com/kids/kids-chests.htm","Tamarack White Chest","$926.00"
"1635093900-1752","https://colemanfurniture.com/kids/kids-chests.htm","Waldorf Dark Gray Chest","$772.00"
"1635093900-1587","https://colemanfurniture.com/kids/kids-chests.htm","Olivia White Chest","$935.00"
