web-scraper-order,web-scraper-start-url,name,price,price2
"1634783043-231","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Arebelle Taupe Tufted Twin Headboard","$335.00","null"
"1634783043-180","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Arebelle Buckwheat Velvet Twin Headboard","$335.00","null"
"1634783043-15","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sapphire White Tufted Velvet King Headboard","$675.00","null"
"1634783043-488","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Potter White King Headboard","$729.00","null"
"1634783043-450","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-2219-270-288 Gray Hayden Upholstered King Headboard","$589.00","On Sale$589.00"
"1634783043-507","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-8634-250-113 Light Gray Hilton Upholstered Full/Queen Headboard","$489.00","On Sale$489.00"
"1634783043-509","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Bonn Style Linen White Upholstered Queen Headboard","$279.00","On Sale$279.00"
"1634783043-458","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Potter French Truffle Cal King Headboard","$729.00","null"
"1634783043-435","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D368-230 Linen Twin Channeled Headboard","$199.00","On Sale$199.00"
"1634783043-310","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6002F White Full Size Headboard","$209.00","null"
"1634783043-34","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hallmar Black And White Stripe Queen Headboard","$389.00","null"
"1634783043-133","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Ojai Beige Upholstered Full/Queen Tufted Headboard","$499.00","null"
"1634783043-26","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Paloma White Metal Queen Headboard","$319.00","null"
"1634783043-376","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Laylah Navy Velvet King Platform Headboard","$475.00","On Sale$475.00"
"1634783043-391","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lucinda French Silver Metal King Headboard","$699.00","null"
"1634783043-278","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6000F Brown Full Size Headboard","$209.00","null"
"1634783043-11","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Rustic Wood Beige Tufted Queen Linen Headboard","$455.00","null"
"1634783043-428","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D523-230-1 Brown Upholstered Wall Hanging Panel Twin Headboard","$109.00","On Sale$109.00"
"1634783043-346","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Newport Sailcloth Crystal Cove Twin Upholstered Panel Headboard By Barclay Butera","$1299.00","null"
"1634783043-304","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Dane Oyester And White Piping Twin Headboard","$295.00","null"
"1634783043-159","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D365-250 Charcoal Full  Queen Nail Trim Headboard","$315.00","On Sale$315.00"
"1634783043-452","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Harlow Beige Queen Headboard","$819.00","null"
"1634783043-386","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Rustic Wood Taupe Tufted Linen Queen Headboard","$449.00","null"
"1634783043-150","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D366-250 Light Gray Full  Queen Welt Trim Headboard","$345.00","On Sale$345.00"
"1634783043-227","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D501-230 Blue Vertical Channel Twin Headboard","$119.00","On Sale$119.00"
"1634783043-171","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Andenne White King/Cal. King Headboard","$439.00","null"
"1634783043-213","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Paloma White Full Metal Headboard","$325.00","null"
"1634783043-192","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Dane Oyester And White Piping Full Headboard","$325.00","null"
"1634783043-63","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Rustic Wood Taupe Tufted Linen Twin Headboard","$329.00","null"
"1634783043-40","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Rutherford Mushroom Queen/Full Headboard","$339.00","null"
"1634783043-196","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6011F Grey Full Size Headboard","$225.00","null"
"1634783043-43","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6013Q Grey Queen Size Headboard","$229.00","null"
"1634783043-335","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D368-230 Doe Twin Channeled Headboard","$199.00","On Sale$199.00"
"1634783043-208","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Alexia White King Headboard","$669.00","null"
"1634783043-178","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sapphire White Tufted Velvet Full Headboard","$399.00","null"
"1634783043-395","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Louis Philippe Black Queen Headboard","$409.00","null"
"1634783043-415","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Nadine Brown Winged King Headboard","$829.00","null"
"1634783043-274","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hallmar White Leather Full Headboard","$329.00","null"
"1634783043-332","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D363-270 Platinum King  Cal. King Round Tufted Headboard","$575.00","On Sale$575.00"
"1634783043-456","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sephina White Rattan Full Size Headboard","$619.00","null"
"1634783043-365","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D368-230 Platinum Twin Channeled Headboard","$199.00","On Sale$199.00"
"1634783043-484","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Silva Gunmetal Metal King Headboard","$699.00","null"
"1634783043-299","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6004F Beige Full Size Headboard","$209.00","null"
"1634783043-211","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lucinda Antique Iron Full Metal Headboard","$625.00","null"
"1634783043-182","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Dane Charcoal And True Taupe Piping Full Headboard","$385.00","null"
"1634783043-499","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-D392-250-1 White Mid Century Grid Tuft Upholstered Queen Headboard","$169.00","On Sale$169.00"
"1634783043-438","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sephina Antique Gray Rattan King Headboard","$705.00","null"
"1634783043-154","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D364-250 Fog Full  Queen Mid Mod Tufted Headboard","$325.00","On Sale$325.00"
"1634783043-279","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D500-230 Stone Clip Corner Twin Headboard","$109.00","On Sale$109.00"
"1634783043-220","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Andenne Black King/Cal. King Headboard","$439.00","null"
"1634783043-106","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D499-250 Beige Cambelback Button Tufted Queen Headboard","$149.00","On Sale$149.00"
"1634783043-158","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D363-250 Platinum Full  Queen Round Tufted Headboard","$329.00","On Sale$329.00"
"1634783043-294","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Casual Traditions Walnut Twin Panel Headboard","$389.00","null"
"1634783043-271","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Herstal Gray Twin Size Headboard","$295.00","null"
"1634783043-311","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6012F White Full Size Headboard","$225.00","null"
"1634783043-134","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Woven Beige Queen Tufted Upholstered Headboard and Bench Set","$305.00","On Sale$305.00"
"1634783043-6","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Murrieta Beige Upholstered King/Cal. King Tufted Headboard","$599.00","null"
"1634783043-270","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Imelda White Washed Full Size Headboard","$625.00","null"
"1634783043-454","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Nadine Natural Winged Twin Headboard","$419.00","null"
"1634783043-359","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D367-230 Light Gray Twin Velvet Channel Headboard","$199.00","On Sale$199.00"
"1634783043-398","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-8634-270-113 Light Gray Hilton Upholstered King Headboard","$645.00","On Sale$645.00"
"1634783043-153","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D364-250 Charcoal Full  Queen Mid Mod Tufted Headboard","$325.00","On Sale$325.00"
"1634783043-319","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Jeneve Sky Blue Winged Full Headboard","$389.00","null"
"1634783043-202","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Arebelle White Velvet Tufted Twin Headboard","$335.00","null"
"1634783043-68","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Gabrielle White Washed Wicker Queen Headboard","$615.00","null"
"1634783043-101","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D501-250 Blue Vertical Channel Queen Headboard","$149.00","On Sale$149.00"
"1634783043-146","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D366-250 Charcoal Full  Queen Welt Trim Headboard","$345.00","On Sale$345.00"
"1634783043-329","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Newport Sandstone Crystal Cove King Upholstered Panel Headboard By Barclay Butera","$2099.00","null"
"1634783043-119","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D504-250 Light Gray Horizontal Channeled Queen Headboard","$139.00","On Sale$139.00"
"1634783043-223","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hallmar Pale Pink  Beige Full Headboard","$329.00","null"
"1634783043-172","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","450101T White Twin Headboard","$199.00","null"
"1634783043-247","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6010F Brown Full Size Headboard","$225.00","null"
"1634783043-176","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Dane Denim Blue And White Piping Twin Headboard","$295.00","null"
"1634783043-460","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Herstal Green Twin Size Headboard","$295.00","null"
"1634783043-348","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Newport Sailcloth Crystal Cove Cal. King Upholstered Panel Headboard By Barclay Butera","$2099.00","null"
"1634783043-51","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Silva Gunmetal Queen Metal Headboard","$635.00","null"
"1634783043-266","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6001T Grey Twin Size Headboard","$189.00","null"
"1634783043-252","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lamar Taupe Tufted Twin Headboard","$309.00","null"
"1634783043-292","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Jeneve Arctic Gray Winged Full Headboard","$389.00","null"
"1634783043-368","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D364-230 Charcoal Twin Mid Modtufted Headboard","$205.00","On Sale$205.00"
"1634783043-451","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-D392-250-1 White Mid Century Grid Tuft Upholstered Queen Headboard","$169.00","On Sale$169.00"
"1634783043-352","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D367-230 Emerald Twin Velvet Channel Headboard","$205.00","On Sale$205.00"
"1634783043-328","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D365-270 Natural King  Cal. King Nail Trim Headboard","$555.00","On Sale$555.00"
"1634783043-502","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Nadine Natural Winged Twin Headboard","$419.00","null"
