web-scraper-order,web-scraper-start-url,name,price
"1634795928-12497","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Winsor Espresso Media Chest","$1119.00"
"1634795928-12399","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Chatelet Cream Media Chest","$2969.00"
"1634795928-12436","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Brinley Cherry Media Chest","$789.00"
"1634795928-12503","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Katherine Gray Media Chest","$1055.00"
"1634795928-12373","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","San Mateo Brown Media Chest","$1515.00"
"1634795928-12447","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Heron Cove Chalk White Media Chest","$1215.00"
"1634795928-12444","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Archivist Dark Wood Bureau","$1599.00"
"1634795928-12458","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Taos Canyon Brown 7 Drawer Media Chest","$1359.00"
"1634795928-12487","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Barrow Oak Media Chest","$795.00"
"1634795928-12462","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Omnus White Media Chest","$909.00"
"1634795928-12466","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Kingsley Walnut Media Chest","$779.00"
"1634795928-12491","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Elaine Espresso Media Chest","$685.00"
"1634795928-12391","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Johnny Smokey Walnut 2 Drawer Media Chest With Media Compartment","$889.00"
"1634795928-12413","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Westlake Cherry Brown Media Chest","$950.00"
"1634795928-12383","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Carmel Cappuccino TV Media Chest","$925.00"
"1634795928-12477","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Trent White Media Chest","$765.00"
"1634795928-12405","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Radcliffe Sanibel Media Chest","$1369.00"
