web-scraper-order,web-scraper-start-url,subcat,subcat-href,name
"1629114379-14755","https://www.ecstuning.com/shop-by-brand/","Yakima (398)","https://www.ecstuning.com/b-yakima-parts/","Tonneau Cover SkyLine Rack Kit, Full-Size"
"1629123523-18046","https://www.ecstuning.com/shop-by-brand/","ESM Wheels (53)","https://www.ecstuning.com/b-esm-wheels-parts/","18"" Style 008 Wheels - Set Of Four"
"1629118634-15910","https://www.ecstuning.com/shop-by-brand/","Race Skids (15)","https://www.ecstuning.com/b-race-skids-parts/","Race Skids Heavy Duty Skid Plate - E30 325ix"
"1629123301-17949","https://www.ecstuning.com/shop-by-brand/","FAE (1134)","https://www.ecstuning.com/b-fae-parts/","Auxiliary Fan Switch"
"1629114322-14715","https://www.ecstuning.com/shop-by-brand/","ZiZa (734)","https://www.ecstuning.com/b-ziza-parts/","Jetta Tail Lights China Market - Red/Amber"
"1629114379-14752","https://www.ecstuning.com/shop-by-brand/","Yakima (398)","https://www.ecstuning.com/b-yakima-parts/","SupDawg Surf Board Rack"
"1629120190-17251","https://www.ecstuning.com/shop-by-brand/","IRP - Individual Racing Parts (79)","https://www.ecstuning.com/b-irp-_-individual-racing-parts/","IRP Adjustable Camber/Caster Plates - E46 BMW"
"1629124873-18671","https://www.ecstuning.com/shop-by-brand/","Broadway Mirrors (37)","https://www.ecstuning.com/b-broadway-mirrors-parts/","Type A 300mm Flat"
"1629125062-18859","https://www.ecstuning.com/shop-by-brand/","Behr (298)","https://www.ecstuning.com/b-behr-parts/","Blower Motor"
"1629118895-16111","https://www.ecstuning.com/shop-by-brand/","Pierburg (195)","https://www.ecstuning.com/b-pierburg-parts/","Upgraded Piston Diverter Valve 06H145710D"
"1629120004-17116","https://www.ecstuning.com/shop-by-brand/","K.A.E. (7)","https://www.ecstuning.com/b-k.a.e.-parts/","Coolant Level Warning Lamp Relay"
"1629119013-16224","https://www.ecstuning.com/shop-by-brand/","P3 Gauges (363)","https://www.ecstuning.com/b-p3-gauges-parts/","Digital Multifunction V3 Gauge - White Bars/Red Digits - With Vent"
"1629124683-18511","https://www.ecstuning.com/shop-by-brand/","Clutch Masters (2655)","https://www.ecstuning.com/b-clutch-masters-parts/","Stage 1 Clutch And Flywheel Kit - FX100"
"1629115075-15207","https://www.ecstuning.com/shop-by-brand/","Torque Solution (81)","https://www.ecstuning.com/b-torque-solution-parts/","98-11 996/997 Performance Engine Mount Kit"
"1629121594-17577","https://www.ecstuning.com/shop-by-brand/","GMG Motorsports (65)","https://www.ecstuning.com/b-gmg-motorsports-parts/","No Holes License Plate Bracket Kit"
"1629119689-16824","https://www.ecstuning.com/shop-by-brand/","Makita (14)","https://www.ecstuning.com/b-makita-parts/","7"" Polisher Kit With Wool Pads"
"1629118848-16083","https://www.ecstuning.com/shop-by-brand/","Plews (3)","https://www.ecstuning.com/b-plews-parts/","6-Quart Funnel"
"1629119145-16362","https://www.ecstuning.com/shop-by-brand/","OBP (10)","https://www.ecstuning.com/b-obp-parts/","OBP E36 Track Pro 3-Pedal Box"
"1629114501-14845","https://www.ecstuning.com/shop-by-brand/","Weber (1)","https://www.ecstuning.com/b-weber-parts/","Weber Auto Choke Water Housing"
"1629120145-17220","https://www.ecstuning.com/shop-by-brand/","ITG Air Filters  (18)","https://www.ecstuning.com/b-itg-air-filters--parts/","ITG Drop-In Profilter - Set"
"1629114627-14920","https://www.ecstuning.com/shop-by-brand/","VNE (23)","https://www.ecstuning.com/b-vne-parts/","Brake Rotor"
"1629123099-17862","https://www.ecstuning.com/shop-by-brand/","FK (337)","https://www.ecstuning.com/b-fk-parts/","Streetline Coilover System - Fixed Damping"
"1629119112-16314","https://www.ecstuning.com/shop-by-brand/","OES MINI (22)","https://www.ecstuning.com/b-oes-mini-parts/","Adjustment Unit - Inlet Cam"
"1629125883-19101","https://www.ecstuning.com/shop-by-brand/","Ansa (76)","https://www.ecstuning.com/b-ansa-parts/","Rear Muffler Assembly"
"1629115509-15303","https://www.ecstuning.com/shop-by-brand/","Synapse (12)","https://www.ecstuning.com/b-synapse-parts/","Synapse Performance R35 Radial BOV Kit - Black charge pipe"
"1629124743-18564","https://www.ecstuning.com/shop-by-brand/","CATuned (193)","https://www.ecstuning.com/b-catuned-parts/","CATuned Big Brake Kit Stage 3.0 - 286mm x 26mm (4 Piston Red Calipers)"
"1629120174-17241","https://www.ecstuning.com/shop-by-brand/","Irwin Vise-Grip (5)","https://www.ecstuning.com/b-irwin-vise_grip-parts/","Vise Grip Large Jaw Locking Pliers"
"1629119126-16332","https://www.ecstuning.com/shop-by-brand/","OEE (3)","https://www.ecstuning.com/b-oee-parts/","Air Filter"
"1629114513-14847","https://www.ecstuning.com/shop-by-brand/","WeatherTech (19232)","https://www.ecstuning.com/b-weathertech-parts/","Front FloorLiner - Black - F32"
"1629125231-18970","https://www.ecstuning.com/shop-by-brand/","Autel (197)","https://www.ecstuning.com/b-autel-parts/","ADJ RUBBER VALVE KIT"
"1629126783-19152","https://www.ecstuning.com/shop-by-brand/","Alta Performance (49)","https://www.ecstuning.com/b-alta-performance-parts/","Hot Side Boost Tube - Red"
"1629119045-16255","https://www.ecstuning.com/shop-by-brand/","OS Giken (17)","https://www.ecstuning.com/b-os-giken-parts/","OS Giken Super Lock Limited Slip Differential Unit for E60 M5, E63 M6"
"1629119000-16204","https://www.ecstuning.com/shop-by-brand/","Pagid Racing (147)","https://www.ecstuning.com/b-pagid-racing-parts/","RSL29 Yellow Endurance Racing Brake Pads - Front"
"1629119272-16471","https://www.ecstuning.com/shop-by-brand/","NFIS Original Equipment (37)","https://www.ecstuning.com/b-nfis-original-equipment-parts/","GLC300 / C300 / C350E / E300 / Metris Van Turbocharger - New"
"1629118660-15921","https://www.ecstuning.com/shop-by-brand/","Quinton Hazell (1)","https://www.ecstuning.com/b-quinton-hazell-parts/","Ball Joint - Upper"
"1629125100-18886","https://www.ecstuning.com/shop-by-brand/","BavSound (47)","https://www.ecstuning.com/b-bavsound-parts/","BavSound Speaker Upgrade - E46 Convertible"
"1629115477-15286","https://www.ecstuning.com/shop-by-brand/","Team MFactory (351)","https://www.ecstuning.com/b-team-mfactory-parts/","2.81 Pumpkin With Helical LSD"
"1629114844-15116","https://www.ecstuning.com/shop-by-brand/","Ultimate Performance And Design  (17)","https://www.ecstuning.com/b-ultimate-performance-and-design--parts/","UPD M113K AMG Mercedes Performance 5 Piece Idler Pulley Kit"
"1629119899-17039","https://www.ecstuning.com/shop-by-brand/","Kolbenschmidt (33)","https://www.ecstuning.com/b-kolbenschmidt-parts/","Main Bearing Set"
"1629123187-17915","https://www.ecstuning.com/shop-by-brand/","Febi (12778)","https://www.ecstuning.com/b-febi-parts/","DSG Transmission Service Kit - Without Service Tool - Featuring Febi Fluid and filter"
"1629124203-18127","https://www.ecstuning.com/shop-by-brand/","Elaplast (72)","https://www.ecstuning.com/b-elaplast-parts/","Elaplast Heater Hose - E46"
"1629119662-16809","https://www.ecstuning.com/shop-by-brand/","Mark Automotive (1)","https://www.ecstuning.com/b-mark-automotive-parts/","Oil Drain Plug - Honda Civic - Each"
"1629118653-15917","https://www.ecstuning.com/shop-by-brand/","R1 Concepts (6853)","https://www.ecstuning.com/b-r1-concepts-parts/","2010 2015 BMW"
