web-scraper-order,web-scraper-start-url,names
"1632238550-75132","https://www.denniskirk.com/motorcycle/apparel/100.ipp/26.pg","Alpinestars
							Black/White Supertech R Vented Boots - 2220121-12-39"
"1632238694-78901","https://www.denniskirk.com/motorcycle/apparel/100.ipp/6.pg","Alpinestars
							Black/Anthracite Yaguara Drystar Pants - 3223318-104-L"
"1632238558-75356","https://www.denniskirk.com/motorcycle/apparel/100.ipp/25.pg","Alpinestars
							Black Missile v2 Airflow Leather Pants - 3121519-10-44"
"1632238673-78435","https://www.denniskirk.com/motorcycle/apparel/100.ipp/9.pg","Bell Helmets
							Black Choice of Pros T-Shirt - 7070716"
"1632238628-77261","https://www.denniskirk.com/motorcycle/apparel/100.ipp/15.pg","Zan Headgear
							Paisley Tie On Cooldanna Head Wrap - DP101"
"1632238537-74850","https://www.denniskirk.com/motorcycle/apparel/100.ipp/28.pg","Icon
							Black RS Gradient Crew Fleece - 3050-5334"
"1632238607-76631","https://www.denniskirk.com/motorcycle/apparel/100.ipp/18.pg","Schampa
							Green Lightning Bolt Stretch Z-Wrap - BNDNA003-37"
"1632238573-75752","https://www.denniskirk.com/motorcycle/apparel/100.ipp/23.pg","Klim
							Women's Hi-Vis Altitude Jacket - 5093-002-140-500"
"1632238516-74261","https://www.denniskirk.com/motorcycle/apparel/100.ipp/31.pg","Alpinestars
							Womens Blue Washed Stella Courtney Denim Pants - 3338718-74-27"
"1632238673-78434","https://www.denniskirk.com/motorcycle/apparel/100.ipp/9.pg","Biltwell
							Gold Work Gloves - GW-MED-01-GD"
"1632238613-76830","https://www.denniskirk.com/motorcycle/apparel/100.ipp/17.pg","Klim
							Black/Brown Badland Aero Pro Short Gloves - 3924-000-140-900"
"1632238648-77738","https://www.denniskirk.com/motorcycle/apparel/100.ipp/12.pg","Scorpion
							Shoulder/Elbow/Knee Armor - 9102-03"
"1632238708-79388","https://www.denniskirk.com/motorcycle/apparel/100.ipp/4.pg","Icon
							Black Stormhawk CE Gloves - 3301-3967"
"1632238724-79697","https://www.denniskirk.com/motorcycle/apparel/100.ipp/2.pg","Joe Rocket
							Blue Accelerator Jeans - 2022-0038"
"1632238634-77483","https://www.denniskirk.com/motorcycle/apparel/100.ipp/14.pg","EVS Sports
							Black Laguna Air Street Gloves - SGL19L-BK-L"
"1632238600-76455","https://www.denniskirk.com/motorcycle/apparel/100.ipp/19.pg","Alpinestars
							Black Denali Aerogel Drystar Gloves - 3526922-10-L"
"1632238732-79948","https://www.denniskirk.com/motorcycle/apparel/100.ipp/1.pg","Joe Rocket
							Black Vintage Rocket Leather Jacket - 1680-1004"
"1632238656-77950","https://www.denniskirk.com/motorcycle/apparel/100.ipp/11.pg","Klim
							Brown Switchback Cargo Pants - 3917-000-032-901"
"1632238550-75095","https://www.denniskirk.com/motorcycle/apparel/100.ipp/26.pg","Mayhem Industries
							Black Yamaha Retro 55 Plate T-Shirt - YM-1016-2-CHR-S"
"1632238565-75566","https://www.denniskirk.com/motorcycle/apparel/100.ipp/24.pg","Zan Headgear
							Winter Balaclava - WBP198"
"1632238530-74598","https://www.denniskirk.com/motorcycle/apparel/100.ipp/29.pg","Scorpion
							Yellow Safe Tech Elbow Armor CE Level 2 - 535-002Y"
"1632238607-76595","https://www.denniskirk.com/motorcycle/apparel/100.ipp/18.pg","Mayhem Industries
							Women's Black Goldwing Perfect V-Neck T-Shirt - HL-1100L-5-BLK-X"
"1632238530-74595","https://www.denniskirk.com/motorcycle/apparel/100.ipp/29.pg","Alpinestars
							Grey/Black Primer Riding Shoes - 2650021-923-10"
"1632238656-77944","https://www.denniskirk.com/motorcycle/apparel/100.ipp/11.pg","Alpinestars
							Black/White/Bright Red Viper v2 Air Jacket - 3302719-1304-S"
