normal_image src,hover_image src,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,key_details 5,key_details 6,final-price,text 2,text 3,text 4,price_guarantee,compareDefault,compareAdd,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 7,key_details 8,key_details 9,key_details 10,key_details 11,key_details 12,key_details 13,key_details 14,key_details 15,key_details 17,key_details 18
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEyMjR8aW1hZ2UvanBlZ3xoZWEvaGM3LzExNzI1MDI3NjA2NTU4LmpwZ3w0YWExM2JiZTZmZTE0NmZjOWQ1M2E3YTVhMGE1NzFkODc4MTc2Y2VmYjRhYTI0N2RmMjlmYzkxNzY0Mjk2M2Q3/67A944C9-26A2-4FBC-AE46-5D598A2C4A19.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEyMjR8aW1hZ2UvanBlZ3xoZWEvaGM3LzExNzI1MDI3NjA2NTU4LmpwZ3w0YWExM2JiZTZmZTE0NmZjOWQ1M2E3YTVhMGE1NzFkODc4MTc2Y2VmYjRhYTI0N2RmMjlmYzkxNzY0Mjk2M2Q3/67A944C9-26A2-4FBC-AE46-5D598A2C4A19.jpg,Wicked Audio HUM 1000 - headphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011527,78011527,Key Details,97.5% ambient noise reduction,Active noise canceling,Wireless Bluetooth,Extra long 13.5 hour battery life / 8 hours ANC time,Mic and track control,Hands free listening,$99.99,Earn,$3,in Rewards,Price Match Guarantee,Compare,Added!,,,,,97.5% ambient noise reduction,Active noise canceling,Wireless Bluetooth,Extra long 13.5 hour battery life / 8 hours ANC time,Mic and track control,Hands free listening,Wide range,High fidelity,Enhanced bass,Wide range,High fidelity
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTI5OHxpbWFnZS9qcGVnfGgzNi9oMGIvMTE3MjM3MjYyNTgyMDYuanBnfDM1ODJkYTUxZWVjYjgyMmQwOGU1NmUxY2Q2MDBiNGZlM2RlZjE0Yzc3ZmQ4NTYxMDAxYzJhMDcxMjFmZTA1MTU/D1F782BA-81F7-457A-A6A7-B37C7509192D.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTI5OHxpbWFnZS9qcGVnfGgzNi9oMGIvMTE3MjM3MjYyNTgyMDYuanBnfDM1ODJkYTUxZWVjYjgyMmQwOGU1NmUxY2Q2MDBiNGZlM2RlZjE0Yzc3ZmQ4NTYxMDAxYzJhMDcxMjFmZTA1MTU/D1F782BA-81F7-457A-A6A7-B37C7509192D.jpg,SteelSeries Arctis 5 - 2019 Edition - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78015972,78015972,Key Details,Perfectly contours to your head while continuously distributing the weight of the headset across the entire Ski Goggle band,Bidirectional mic delivers industry-leading noise cancellation and sound quality,DTS Headphone: X 7.1 Surround provides the truest virtual 3D environment with the most accurate placement of audio cues,"Stay cool, dry, and comfy with AirWeave performance-fabric ear cushions",USB ChatMix Dial lets you balance and adjust the volume between your game and chat audio,,$99.99,Earn Triple Rewards,$8,=,Price Match Guarantee,Compare,Added!,,,,,Perfectly contours to your head while continuously distributing the weight of the headset across the entire Ski Goggle band,Bidirectional mic delivers industry-leading noise cancellation and sound quality,DTS Headphone: X 7.1 Surround provides the truest virtual 3D environment with the most accurate placement of audio cues,"Stay cool, dry, and comfy with AirWeave performance-fabric ear cushions",USB ChatMix Dial lets you balance and adjust the volume between your game and chat audio,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTY0NDF8aW1hZ2UvanBlZ3xoMjAvaDg3LzEyMTY0MDM2OTUyMDk0LmpwZ3w2Y2RjM2E2NzE2ZmY2NDA0MWY4MTU4YmJjNjEwYWQxNTBhNTZmZjJhMzg0YTNjY2I0OTQwNzljZjY2NWRmNDkx/A09D4C62-17D1-4576-BAB1-A458A2319399.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTY0NDF8aW1hZ2UvanBlZ3xoMjAvaDg3LzEyMTY0MDM2OTUyMDk0LmpwZ3w2Y2RjM2E2NzE2ZmY2NDA0MWY4MTU4YmJjNjEwYWQxNTBhNTZmZjJhMzg0YTNjY2I0OTQwNzljZjY2NWRmNDkx/A09D4C62-17D1-4576-BAB1-A458A2319399.jpg,ROCCAT Syn Pro Air - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78059804,78059804,Key Details,Immersive 3D audio with 50mm drivers,Superhuman hearing boosts critical sounds,Rapid charge via USB-C,Memory foam ProSpecs earpads and headband,Breathable athletic fabric wicks moisture away,Lay-flat yokes for easy stowing,$109.99,Earn Triple Rewards,$9,=,Price Match Guarantee,Compare,Added!,,,,,Immersive 3D audio with 50mm drivers,Superhuman hearing boosts critical sounds,Rapid charge via USB-C,Memory foam ProSpecs earpads and headband,Breathable athletic fabric wicks moisture away,Lay-flat yokes for easy stowing,Detachable flip-to-mute TruSpeak mic,AIMO-compatible,,Detachable flip-to-mute TruSpeak mic,AIMO-compatible
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4MTd8aW1hZ2UvanBlZ3xoNjkvaGJlLzExNzI0Mzc2OTk3OTE4LmpwZ3wwMzE3ZjYxOGMxNWI3NmQwY2MxOWRiZGQ0YzUxODUyOTRhZTgwODA4NTU1MTU4M2E2YjVkNDYxMDNmODcyMzUx/55FD6BCB-EC99-49C2-9CA6-C56FED247637.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4MTd8aW1hZ2UvanBlZ3xoNjkvaGJlLzExNzI0Mzc2OTk3OTE4LmpwZ3wwMzE3ZjYxOGMxNWI3NmQwY2MxOWRiZGQ0YzUxODUyOTRhZTgwODA4NTU1MTU4M2E2YjVkNDYxMDNmODcyMzUx/55FD6BCB-EC99-49C2-9CA6-C56FED247637.jpg,Turtle Beach Stealth 700 Gen 2 - for PlayStation - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78015654,78015654,Key Details,Metal-reinforced headband construction,Aerofit cooling gel-infused comfort,Game and stay connected with Bluetooth,Gen 2 flip-to-mute mic,20-hour wireless battery life,Wireless connection,$149.95,Earn Triple Rewards,$13,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78015654,[object Object],4.8,(93),Metal-reinforced headband construction,Aerofit cooling gel-infused comfort,Game and stay connected with Bluetooth,Gen 2 flip-to-mute mic,20-hour wireless battery life,Wireless connection,Pinpoint audio accuracy,App-based audio customization,Glasses friendly,Pinpoint audio accuracy,App-based audio customization
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4MTd8aW1hZ2UvanBlZ3xoNDUvaDAxLzExNzI0MzI5ODExOTk4LmpwZ3xjZmE0YzY4Mjc3YjM1MDlmZThlOTIxZjkwMGNhZjEyNjNmZTdjODUzY2QzZDkwMjlkMGYxNzk4ZGJlNDQzMTA1/55FD6BCB-EC99-49C2-9CA6-C56FED247637.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4MTd8aW1hZ2UvanBlZ3xoNDUvaDAxLzExNzI0MzI5ODExOTk4LmpwZ3xjZmE0YzY4Mjc3YjM1MDlmZThlOTIxZjkwMGNhZjEyNjNmZTdjODUzY2QzZDkwMjlkMGYxNzk4ZGJlNDQzMTA1/55FD6BCB-EC99-49C2-9CA6-C56FED247637.jpg,Turtle Beach Stealth 700 Gen 2 Premium Wireless Gaming Headset with Bluetooth for Xbox Series X & Xbox One,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78015651,78015651,Key Details,Metal-reinforced headband construction,Aerofit cooling gel-infused comfort,Game and stay connected with Bluetooth,Gen 2 flip-to-mute mic,20-hour wireless battery life,Wireless connection,$149.95,Earn Triple Rewards,$13,=,Price Match Guarantee,Compare,Added!,,,,,Metal-reinforced headband construction,Aerofit cooling gel-infused comfort,Game and stay connected with Bluetooth,Gen 2 flip-to-mute mic,20-hour wireless battery life,Wireless connection,Pinpoint audio accuracy,App-based audio customization,Glasses friendly,Pinpoint audio accuracy,App-based audio customization
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjUwMnxpbWFnZS9qcGVnfGg1OC9oMGUvMTIwMzc0ODM2NTkyOTQuanBnfGMzZTkzYTlmMzI2YzUwMmJiYjI1ZTdkYTExNWRhNTI4NmM0NzkwZDEzN2Q2N2EwYWYxNzM0OGU5ZWQ3Y2U2N2E/4243E87D-0CC6-4500-A318-4A6F722285B1.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjUwMnxpbWFnZS9qcGVnfGg1OC9oMGUvMTIwMzc0ODM2NTkyOTQuanBnfGMzZTkzYTlmMzI2YzUwMmJiYjI1ZTdkYTExNWRhNTI4NmM0NzkwZDEzN2Q2N2EwYWYxNzM0OGU5ZWQ3Y2U2N2E/4243E87D-0CC6-4500-A318-4A6F722285B1.jpg,Philips TAB7305 - sound bar system - wireless,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/78055453,78055453,Key Details,Wireless subwoofer for deeper bass,Powerful sound,Dolby Audio,Distinctive geometric design,Control the soundbar with your TV remote,Connect your favorite sources for bigger sound,$249.99,Earn,$7,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Wireless subwoofer for deeper bass,Powerful sound,Dolby Audio,Distinctive geometric design,Control the soundbar with your TV remote,Connect your favorite sources for bigger sound,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTc3N3xpbWFnZS9qcGVnfGhjNC9oNDYvMTE5ODMwMjcxNDI2ODYuanBnfDAzZTZmMzEwNmUwZDE2MTg4YjIxZDQ3NDczNDg1NmM0MmY3ZWQwYjA4NTQ5NTNhNDAxZWJlODI1YzA4ZGVjY2I/615B016E-E875-40EE-917F-1E9E016AB607.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTc3N3xpbWFnZS9qcGVnfGhjNC9oNDYvMTE5ODMwMjcxNDI2ODYuanBnfDAzZTZmMzEwNmUwZDE2MTg4YjIxZDQ3NDczNDg1NmM0MmY3ZWQwYjA4NTQ5NTNhNDAxZWJlODI1YzA4ZGVjY2I/615B016E-E875-40EE-917F-1E9E016AB607.jpg,Philips TAH9505BK - headphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78053852,78053852,Key Details,Hybrid Active Noise Canceling,Rounded over-ear design,Hours of play time,Memory-foam ear-cup cushions,Rock-solid connectivity,,$249.99,Earn,$7,in Rewards,Price Match Guarantee,Compare,Added!,,,,,,Hybrid Active Noise Canceling,Rounded over-ear design,Hours of play time,Memory-foam ear-cup cushions,Rock-solid connectivity,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTcyOXxpbWFnZS9qcGVnfGgyYy9oOGYvMTE2MDIyNDI4NjMxMzQuanBnfDM4OTBlNDcxM2E0OWZkZjg2MWQzYTg0MjRmMWYzMWUxM2VkYzE1ZTYwZTM2OGEzMjdkODVkY2NhYmJjYTE1OTI/8B9C0817-C738-47FA-AB30-6BC9DA29CA39.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTcyOXxpbWFnZS9qcGVnfGgyYy9oOGYvMTE2MDIyNDI4NjMxMzQuanBnfDM4OTBlNDcxM2E0OWZkZjg2MWQzYTg0MjRmMWYzMWUxM2VkYzE1ZTYwZTM2OGEzMjdkODVkY2NhYmJjYTE1OTI/8B9C0817-C738-47FA-AB30-6BC9DA29CA39.jpg,Turtle Beach RECON CHAT Gaming Headset - Black/Green,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012298,78012298,Key Details,Glasses friendly,Multiplatform compatible,Unique open ear-cup,High-quality 40mm speaker,Convenient in-line controls,Reversible over-ear design,$14.95,Earn Triple Rewards,$1,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012298,[object Object],4.5,(247),Glasses friendly,Multiplatform compatible,Unique open ear-cup,High-quality 40mm speaker,Convenient in-line controls,Reversible over-ear design,High sensitivity mic,,,High sensitivity mic,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8ODE1MHxpbWFnZS9qcGVnfGg5NC9oZWEvMTE2MDgyMTUyMjQzNTAuanBnfGY1ZGRhMGJkYTU0MDdiNjRjMjYwZjQ1MTI0NjU5YzhlNGU4YzA5MmQ3ZTZiYmUxMDg2ZmQyZDU0MWFiMTllYzg/A097AC22-EEFF-4823-A773-84895110F5EB.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8ODE1MHxpbWFnZS9qcGVnfGg5NC9oZWEvMTE2MDgyMTUyMjQzNTAuanBnfGY1ZGRhMGJkYTU0MDdiNjRjMjYwZjQ1MTI0NjU5YzhlNGU4YzA5MmQ3ZTZiYmUxMDg2ZmQyZDU0MWFiMTllYzg/A097AC22-EEFF-4823-A773-84895110F5EB.jpg,Turtle Beach RECON CHAT Gaming Headset - White/Green,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012299,78012299,Key Details,Glasses friendly,Multiplatform compatible,Unique open ear-cup,High-quality 40mm speaker,Convenient in-line controls,Reversible over-ear design,$14.95,Earn Triple Rewards,$1,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012299,[object Object],4.5,(170),Glasses friendly,Multiplatform compatible,Unique open ear-cup,High-quality 40mm speaker,Convenient in-line controls,Reversible over-ear design,High sensitivity mic,,,High sensitivity mic,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mzc3M3xpbWFnZS9qcGVnfGg5My9oZTIvMTE3MjUxMDM1MzAwMTQuanBnfGNmYjEwYTVlODQ1MDViMDVjMGYxMmQ4MWJiNDg1MzczMjkxZDI5ZWExMGI4ZmI2ZjA5YzFlZWQ5NjQ4ZWMxZGI/11FD8565-B2C7-4E77-998A-4C8EED2317F1.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mzc3M3xpbWFnZS9qcGVnfGg5My9oZTIvMTE3MjUxMDM1MzAwMTQuanBnfGNmYjEwYTVlODQ1MDViMDVjMGYxMmQ4MWJiNDg1MzczMjkxZDI5ZWExMGI4ZmI2ZjA5YzFlZWQ5NjQ4ZWMxZGI/11FD8565-B2C7-4E77-998A-4C8EED2317F1.jpg,Wicked Audio Omen - earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011553,78011553,Key Details,Wireless Bluetooth,Listen up to 32 ft away from your device,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection,Custom comfort with 3 cushion sizes,"Noise isolating to help you focus on what's important, your tunes",$19.99,Earn,$0.60,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Wireless Bluetooth,Listen up to 32 ft away from your device,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection,Custom comfort with 3 cushion sizes,"Noise isolating to help you focus on what's important, your tunes",,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM3MzN8aW1hZ2UvanBlZ3xoN2QvaGU2LzExNjk0MTg1NzA5NTk4LmpwZ3xiYTdjZmQzYTI3OGUxMTQ3YjQwMDg3N2FlYjRjMzVhZmE2OTRlNWI4YTI3YjUwYzJmNDUzYzZmYWY0YTQwNjdm/100F36DA-0CE6-49D2-B442-466867446882.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM3MzN8aW1hZ2UvanBlZ3xoN2QvaGU2LzExNjk0MTg1NzA5NTk4LmpwZ3xiYTdjZmQzYTI3OGUxMTQ3YjQwMDg3N2FlYjRjMzVhZmE2OTRlNWI4YTI3YjUwYzJmNDUzYzZmYWY0YTQwNjdm/100F36DA-0CE6-49D2-B442-466867446882.jpg,Wicked Audio Grid Legion 500 - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78017290,78017290,,,,,,,,$29.99,Earn Triple Rewards,$2,=,Price Match Guarantee,Compare,Added!,,,,,,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjI2M3xpbWFnZS9qcGVnfGhiMC9oZTIvMTE2MDE5NTcwMjc4NzAuanBnfDJkZDQ2ZjRmNjllYWUwMGJkYzUxNTQwNjc5NjliMzUyYTFjNDQzZjhiMWEyYzIxM2U0MmU4NzQyNDg0YTRhYzg/FE6C7F74-FC06-41A5-957B-BF4EE77A8AF3.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjI2M3xpbWFnZS9qcGVnfGhiMC9oZTIvMTE2MDE5NTcwMjc4NzAuanBnfDJkZDQ2ZjRmNjllYWUwMGJkYzUxNTQwNjc5NjliMzUyYTFjNDQzZjhiMWEyYzIxM2U0MmU4NzQyNDg0YTRhYzg/FE6C7F74-FC06-41A5-957B-BF4EE77A8AF3.jpg,Turtle Beach Atlas Edge PC Audio Enhancer - sound card,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Audio-Accessories/78012294,78012294,Key Details,Independent game & chat volume control,Superhuman hearing optimized for PC,"EQ audio presets, including Bass Boost",Macro compatibility,,,$29.95,Earn Triple Rewards,$2,=,Price Match Guarantee,Compare,Added!,,,,,Independent game & chat volume control,Superhuman hearing optimized for PC,"EQ audio presets, including Bass Boost",Macro compatibility,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4NzZ8aW1hZ2UvanBlZ3xoY2UvaDM3LzExNjA4MjI1NjQ0NTc0LmpwZ3wyYmY5MDRhYjIyMzgzYmUyOTkxMmM4MTRkYTRjN2NjMTY5ZDczNDEwOTc2ODQxYmQzMjE3MTM2Nzc2NzBlZDNi/6F24514C-350C-4D0A-8C93-44DF1317251A.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTE4NzZ8aW1hZ2UvanBlZ3xoY2UvaDM3LzExNjA4MjI1NjQ0NTc0LmpwZ3wyYmY5MDRhYjIyMzgzYmUyOTkxMmM4MTRkYTRjN2NjMTY5ZDczNDEwOTc2ODQxYmQzMjE3MTM2Nzc2NzBlZDNi/6F24514C-350C-4D0A-8C93-44DF1317251A.jpg,Turtle Beach RECON 70N Gaming Headset - Red/Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012311,78012311,Key Details,Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012311,[object Object],4.8,(18),Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA3ODd8aW1hZ2UvanBlZ3xoMTIvaGRmLzExNjA4MjY0OTY2MTc0LmpwZ3wyZTk5ZmYxZDM0NjQwM2I0YWFiMzZjNDFlZWEwMGZkYjM2NDVkNTQ1MTExNGZkZGQ5NTA4YmJkMGU4YmIwNWMy/3103DB7C-3289-40BC-932A-AA7F9D4169C1.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA3ODd8aW1hZ2UvanBlZ3xoMTIvaGRmLzExNjA4MjY0OTY2MTc0LmpwZ3wyZTk5ZmYxZDM0NjQwM2I0YWFiMzZjNDFlZWEwMGZkYjM2NDVkNTQ1MTExNGZkZGQ5NTA4YmJkMGU4YmIwNWMy/3103DB7C-3289-40BC-932A-AA7F9D4169C1.jpg,Turtle Beach RECON 70P Gaming Headset - White,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012346,78012346,Key Details,Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,,,,,Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIxODF8aW1hZ2UvanBlZ3xoZjgvaGY0LzExNjA4MjQ3NjY0NjcwLmpwZ3wyNDQzMWMzZTA2MDdiMmEyMjNmMTBmZWM2OTU1YjFmZjYyZmUwMjYwNmRjMmVlOTljZGVkNzc2OGU3ODU4Njgy/6AF1C35C-A411-4566-8793-C77FFDA267D6.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIxODF8aW1hZ2UvanBlZ3xoZjgvaGY0LzExNjA4MjQ3NjY0NjcwLmpwZ3wyNDQzMWMzZTA2MDdiMmEyMjNmMTBmZWM2OTU1YjFmZjYyZmUwMjYwNmRjMmVlOTljZGVkNzc2OGU3ODU4Njgy/6AF1C35C-A411-4566-8793-C77FFDA267D6.jpg,Turtle Beach RECON 70X Gaming Headset - Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012342,78012342,Key Details,Lighweight comfort,Flip-up mic,High-quality speakers,Premium ear cushions,,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012342,[object Object],4.8,(32),Lighweight comfort,Flip-up mic,High-quality speakers,Premium ear cushions,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTMwN3xpbWFnZS9qcGVnfGg1My9oMzkvMTE2MDI1OTU5NzExMDIuanBnfGE2ZTcwZDc5ODk1OGY0ZjJkZTI3N2QxMjNhMGZlMGViODhjN2E0YzdmYTY2ZjYxZjRiMjk1NzE5ZDkzYjFmMTU/C1871D88-3D45-46B5-8745-2112D2601DEF.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTMwN3xpbWFnZS9qcGVnfGg1My9oMzkvMTE2MDI1OTU5NzExMDIuanBnfGE2ZTcwZDc5ODk1OGY0ZjJkZTI3N2QxMjNhMGZlMGViODhjN2E0YzdmYTY2ZjYxZjRiMjk1NzE5ZDkzYjFmMTU/C1871D88-3D45-46B5-8745-2112D2601DEF.jpg,Turtle Beach Ear Force Headset - Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Audio-Accessories/78012293,78012293,Key Details,"Raise your game with the Ear Force Headset Audio Controller Plus. The Plus adds superhuman hearing, game and mic presets, and mic monitoring to your audio experience. Of course, critical controls for master volume, game and chat volume mix and mic mute are also right at your fingertips.","Raise your game with the Ear Force Headset Audio Controller Plus. The Plus adds superhuman hearing, game and mic presets, and mic monitoring to your audio experience. Of course, critical controls for master volume, game and chat volume mix and mic mute are also right at your fingertips.",,,,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,,,,,,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIzMTV8aW1hZ2UvanBlZ3xoZmIvaGUyLzExNjA4MjY4NzAxNzI2LmpwZ3wwYjIzZWM4NTQ0MTdlODNhNWNlZWY2M2UzMzA1YmRmZWZlZmU0YTJkZTg3Yjk1MTNkYWQ0YjViODZiMTNkN2Q1/1AA63A04-73CB-4C65-A039-9EA5FDEFAF8D.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIzMTV8aW1hZ2UvanBlZ3xoZmIvaGUyLzExNjA4MjY4NzAxNzI2LmpwZ3wwYjIzZWM4NTQ0MTdlODNhNWNlZWY2M2UzMzA1YmRmZWZlZmU0YTJkZTg3Yjk1MTNkYWQ0YjViODZiMTNkN2Q1/1AA63A04-73CB-4C65-A039-9EA5FDEFAF8D.jpg,Turtle Beach RECON 70P Gaming Headset - Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012347,78012347,,,,,,,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012347,[object Object],4.7,(40),,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI1Nzd8aW1hZ2UvanBlZ3xoZDAvaGEyLzExNjA4MjI5MTgzNTE4LmpwZ3wyODJkMWJjOGJlNjVlMDQ3NjM5NGUyZDkxOWRiMTA4ZTIwOGNjZTJlMWM5ODU2NzcwMGIwY2FlZTVhZGIyZGIy/D03B5609-59AA-4C0E-B360-870E8B07C826.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI1Nzd8aW1hZ2UvanBlZ3xoZDAvaGEyLzExNjA4MjI5MTgzNTE4LmpwZ3wyODJkMWJjOGJlNjVlMDQ3NjM5NGUyZDkxOWRiMTA4ZTIwOGNjZTJlMWM5ODU2NzcwMGIwY2FlZTVhZGIyZGIy/D03B5609-59AA-4C0E-B360-870E8B07C826.jpg,Turtle Beach RECON 70P Gaming Headset - Midnight Red/Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012306,78012306,Key Details,Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012306,[object Object],4.7,(40),Lightweight comfort,Flip-up mic,High-quality 40mm speakers,Premium ear cushions,Multiplatform compatibility,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEwNzV8aW1hZ2UvanBlZ3xoZmQvaGIxLzExNjA4MjE2NDAzOTk4LmpwZ3w1M2IwODRiODNmNzhmMDAyMmI2NWVkY2Y0MjU1ZDQ4ZTljZDBkZDBhOWUzM2ExZjBhMzc2NWFjZjUzODY2NGVl/EA55FEDF-FA13-4FDE-BC71-D570400701A4.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEwNzV8aW1hZ2UvanBlZ3xoZmQvaGIxLzExNjA4MjE2NDAzOTk4LmpwZ3w1M2IwODRiODNmNzhmMDAyMmI2NWVkY2Y0MjU1ZDQ4ZTljZDBkZDBhOWUzM2ExZjBhMzc2NWFjZjUzODY2NGVl/EA55FEDF-FA13-4FDE-BC71-D570400701A4.jpg,Turtle Beach RECON 70X Gaming Headset - White/Green,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78012300,78012300,Key Details,Lighweight comfort,Flip-up mic,High-quality speakers,Premium ear cushions,,,$39.95,Earn Triple Rewards,$3,=,Price Match Guarantee,Compare,Added!,,,,,Lighweight comfort,Flip-up mic,High-quality speakers,Premium ear cushions,,,,,,,
