web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632063539-1854,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Sharp FZ-C100DFU Airflow Systems Filter - For Air Purifier - Remove Smoke, Remov...0.0 out of 5 stars."
1632063290-1467,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Lasko® 3-Speed Pro-Performance High Velocity Utility Fan, 14.75H"" x 14.5""W x 11...."
1632063290-1378,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Lasko Wind Tower Fan - 152.4 mm Diameter - 3 Speed - Oscillating - 14"" Height x ...4.8 out of 5 stars. 4 reviews"
1632063200-1225,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"Crane Vapor Pads, Lavender Orange, Pack Of 12 Pads"
1632063539-1935,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 27""H x 14""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063539-2131,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 30""H x 28""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063539-2510,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Accumulair Diamond Air Filters, 19-1/2"" x 22"" x 1"", Set Of 4 Filters0.0 out of 5 stars."
1632063236-1280,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,"Optimus Portable 1,500-Watt Fan Heater With Thermostat, White4.1 out of 5 stars. 8 reviews"
1632063539-2505,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 7, 30""H x 20""W x 2""D, Set Of 12 Filters0.0 out of 5 stars."
1632063539-1877,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 8 Pro, 20""H x 18""W x 2""D, Set Of 12 Filters0.0 out of 5 stars."
