web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632301956-16524,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"For Delivery				
																				
																			
																			 
																				
																					(399)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=550454/,"Securio By HSM B32S 24-Sheet Strip-Cut Shredder, 31-1/4""H x 19-5/8""W x 15-3/4""D,..."
1632301213-12682,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Micro-Cut				
																				
																			
																			 
																				
																					(80)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=579857/,"Securio by HSM C18cL4 9-Sheet Micro-Cut Shredder, White0.0 out of 5 stars."
1632300388-9942,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Typewriters & Accessories (22),https://www.officedepot.com/a/browse/typewriters-and-accessories/N=5+509789/,Correctable Typewriter Ribbons (11),https://www.officedepot.com/a/browse/correctable-typewriter-ribbons/N=5+509790/,Dataproducts R5111 Ribbon - Dot Matrix - Clear5.0 out of 5 stars. 1 review
1632301956-16595,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"For Delivery				
																				
																			
																			 
																				
																					(399)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=550454/,Aurora High-Security JamFree 8-Sheet Micro-Cut Shredder With Pullout Wastebasket...
1632301617-14416,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Fellowes				
																				
																			
																			 
																				
																					(70)",https://www.officedepot.com/a/browse/fellowes-shredders/N=5+509777&cbxRefine=301994/,Fellowes® Powershred® LX 190 20-Sheet Cross-Cut Paper Shredder4.9 out of 5 stars. 11 reviews
1632317315-23884,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Calculators (223),https://www.officedepot.com/a/browse/calculators/N=5+509745/,Basic Calculators (97),https://www.officedepot.com/a/browse/basic-calculators/N=5+509747/,Casio SL-300VC Portable Calculator - 8 Digits - Battery/Solar Powered - Sweet Pi...3.0 out of 5 stars. 2 reviews
1632302077-16850,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,In Stock for Delivery,https://www.officedepot.com/a/browse/shredders/N=5+509777&inStock=true/,Royal Sovereign 8 Sheet Manual Cross-Cut Shredder (RDS-15C8) - Cross Cut - 8 Per...4.5 out of 5 stars. 18 reviews
1632301353-13426,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Personal Shredder				
																				
																			
																			 
																				
																					(77)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1205498/,Swingline® GBC® 12 Sheet Cross-Cut Shredder EX12-053.1 out of 5 stars. 7 reviews
1632300671-10863,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Manual Reverse				
																				
																			
																			 
																				
																					(239)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1182633/,"Securio by HSM P44i 78-Sheet Strip-Cut Shredder, 40-7/16""H x 27-5/8""W x 23-5/16""...0.0 out of 5 stars."
1632312604-19913,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"BenQ				
																				
																			
																			 
																				
																					(38)",https://www.officedepot.com/a/browse/benq-projectors/N=5+1123281&cbxRefine=301578/,BenQ TH585 3D DLP Projector - 16:9 - White - 1920 x 1080 - Front - 1080p - 4000 ...
1632302077-16895,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,In Stock for Delivery,https://www.officedepot.com/a/browse/shredders/N=5+509777&inStock=true/,"Ativa® 7-Sheet High-Security Shredder, V270HS Bundle White Glove Delivery0.0 out of 5 stars."
1632300958-11745,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Staples				
																				
																			
																			 
																				
																					(236)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869852/,"Ativa® 12-Sheet Micro-Cut Shredder, A12MC194.4 out of 5 stars. 336 reviews"
1632306244-18405,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Scanners & Accessories (257),https://www.officedepot.com/a/browse/scanners-and-accessories/N=5+1040462/,Scanners (167),https://www.officedepot.com/a/browse/scanners/N=5+1040464/,Epson DS-32000 Large Format Sheetfed Scanner - 1200 dpi Optical - 30-bit Color -...
1632301388-13663,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Commercial Shredder				
																				
																			
																			 
																				
																					(100)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1205496/,"Ativa® 180-Sheet Strip-Cut Shredder, V400S, White Glove Delivery0.0 out of 5 stars."
