web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632679580-10126,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro MFP M428fdn Monochrome (Black And White) Laser All-In-One Printe...3.9 out of 5 stars. 48 reviews
1632679542-10052,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M608 M608n Desktop Laser Printer - Monochrome - 65 ppm Mono - 1200 x...
1632679580-10121,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Enterprise Flow M578c Color All-In-One Printer0.0 out of 5 stars.
1632679542-10025,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise MFP M528dn Monochrome (Black And White) Laser Printer
1632679542-10063,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M612dn Monochrome (Black And White) Laser Printer
1632679542-10013,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M507n Wireless Monochrome (Black And White) Laser Printer4.7 out of 5 stars. 15 reviews
1632679542-10056,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M611x Wireless Monochrome (Black And White) Laser Printer
1632679542-10039,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M609 M609dn Desktop Laser Printer - Monochrome - 75 ppm Mono - 1200 ...
1632679542-10028,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet MFP M234dwe Wireless Monochrome (Black And White) Laser All-In-One P...
1632679542-9998,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M454dw Wireless Color Laser Printer4.6 out of 5 stars. 140 reviews
