url,product,category
https://www.academy.com/shop/pdp/columbia-sportswear-mens-texas-a-m-university-terminal-tackle-shirt?sku=charcoal-01-large-texas-a-m-aggies,Columbia Sportswear Men's Texas A&M University Terminal Tackle Shirt,apparels
https://www.academy.com/shop/pdp/rico-university-car-flag?sku=alabama-crimson-tide,Rico University Car Flag,apparels
https://www.academy.com/shop/pdp/victory-tailgate-university-of-texas-2-ft-x-3-ft-cornhole-game?sku=orange-texas-longhorns,Victory Tailgate University of Texas 2 ft x 3 ft Cornhole Game,apparels
https://www.academy.com/shop/pdp/three-square-womens-clemson-university-ruby-tuesday-short-sleeve-t-shirt?sku=white-large-clemson-tigers,Three Square Women's Clemson University Ruby Tuesday Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/new-world-graphics-mens-texas-tech-university-license-plate-t-shirt?sku=red-x-large-texas-tech-red-raiders,New World Graphics Men's Texas Tech University License Plate T-shirt,apparels
https://www.academy.com/shop/pdp/nike-kids-kansas-city-chiefs-20-afc-champs-iconic-short-sleeve-t-shirt?sku=red-14-16-youth-kansas-city-chiefs,Nike Kids' Kansas City Chiefs '20 AFC Champs Iconic Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/austin-fc-womens-team-adrenaline-notch-neck-t-shirt?sku=charcoal-heather-white-heather-large-austin-fc,Austin FC Women's Team Adrenaline Notch Neck T-shirt,apparels
https://www.academy.com/shop/pdp/logo-university-of-texas-clear-stadium-bag?sku=dark-orange-texas-longhorns,Logo University of Texas Clear Stadium Bag,apparels
https://www.academy.com/shop/pdp/47-houston-astros-womens-rainbow-star-club-t-shirt?sku=navy-x-large-houston-astros,'47 Houston Astros Women's Rainbow Star Club T-shirt,apparels
https://www.academy.com/shop/pdp/rico-appalachian-state-university-car-flag?sku=black-appalachian-state-mountaineers,Rico Appalachian State University Car Flag,apparels
https://www.academy.com/shop/pdp/wincraft-texas-a-m-university-2-sided-garden-flag?sku=dark-red-texas-a-m-aggies,WinCraft Texas A&M University 2-Sided Garden Flag,apparels
https://www.academy.com/shop/pdp/logo-kansas-state-university-elite-chair-108580107?sku=kansas-state-wildcats,Logo Kansas State University Elite Chair,apparels
https://www.academy.com/shop/pdp/logo%E2%84%A2-university-of-central-florida-elite-chair?sku=black-ucf-knights,Logo™ University of Central Florida Elite Chair,apparels
https://www.academy.com/shop/pdp/comfort-wash-mens-university-of-georgia-pocket-state-short-sleeve-t-shirt?sku=crimson-fall-x-large-georgia-bulldogs,Comfort Wash Men's University of Georgia Pocket State Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/adidas-mens-austin-fc-primary-replica-jersey?sku=black-medium-green-xx-large-austin-fc,adidas Men's Austin FC Primary Replica Jersey,apparels
