Title,Title_URL
BCG Men's Stripe Dazzle Basketball Short                                                                                        ,https://www.academy.com/shop/pdp/bcg-mens-stripe-dazzle-basketball-short?sku=black-x-large
Under Armour Men's UA Tech Graphic Training Short                                                                               ,https://www.academy.com/shop/pdp/under-armour-mens-ua-tech-graphic-training-short?sku=black-large
BCG Men's Athletic Compression Solid Brief Shorts                                                                               ,https://www.academy.com/shop/pdp/bcg-mens-athletic-compression-solid-brief-shorts?sku=black-large
BCG Women's Cotton Wick Athletic Pants                                                                                          ,https://www.academy.com/shop/pdp/bcg-womens-cotton-wick-athletic-pants?sku=black-04-x-large
Nike Men's Dri-FIT Football Polo Shirt                                                                                          ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-football-polo-shirt?sku=college-navy-black-white-large
Under Armour Boys' Prototype Logo Shorts                                                                                        ,https://www.academy.com/shop/pdp/under-armour-boys-prototype-logo-shorts-125816126?sku=black-large
BCG Men's Sport Compression Baselayer Long Sleeve Top                                                                           ,https://www.academy.com/shop/pdp/bcg-mens-sport-compression-baselayer-long-sleeve-top?sku=white-medium
Nike Women's Dri-FIT Attack Training Shorts 5 in                                                                                ,https://www.academy.com/shop/pdp/nike-womens-dri-fit-attack-training-shorts-5-in?sku=black-medium
BCG Men's Athletic Melange Turbo Shorts 10 in                                                                                   ,https://www.academy.com/shop/pdp/bcg-mens-athletic-melange-turbo-shorts-10-in?sku=charcoal-01-x-large
BCG Men's Training Turbo Embossed T-shirt                                                                                       ,https://www.academy.com/shop/pdp/bcg-mens-training-turbo-embossed-t-shirt?sku=charcoal-01-large
BCG Men's Sport Compression Top                                                                                                 ,https://www.academy.com/shop/pdp/bcg-mens-sport-compression-top?sku=black-x-large
BCG Men's Turbo Muscle Mesh Tank Top                                                                                            ,https://www.academy.com/shop/pdp/bcg-mens-turbo-muscle-mesh-tank-top?sku=white-x-large
Adidas Men's Squadra 21 Shorts                                                                                                  ,https://www.academy.com/shop/pdp/adidas-mens-squadra-21-shorts?sku=black-medium
Freely Women's Seam Detail Short Sleeve T-shirt                                                                                 ,https://www.academy.com/shop/pdp/freely-womens-seam-detail-short-sleeve-t-shirt?sku=black-medium
Nike Girls' Nike Pro Shorts 3 in                                                                                                ,https://www.academy.com/shop/pdp/nike-girls-nike-pro-shorts-3-in?sku=black-medium
BCG Girls' Turbo Melange T-shirt                                                                                                ,https://www.academy.com/shop/pdp/bcg-girls-turbo-melange-t-shirt?sku=pink-bright-01-small
BCG Women's Fly Away Layered Running Shorts                                                                                     ,https://www.academy.com/shop/pdp/bcg-womens-fly-away-layered-running-shorts?sku=caviar-charcoal-hthr-large
