web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632410890-7040,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A6, 4 5/8"" x 6 1/4"", Black Satin, Pack Of 500.0 out of 5 stars."
1632411653-9878,https://www.officedepot.com/a/browse/paper/N=5+530715/,Notebooks & Pads   (1264),https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741/,Notebook & Pad Deals,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741&cbxRefine=549384/,"TUL® Discbound Notebook Refill Pages, Assorted Ruling, Letter Size, 600 Pages (3...5.0 out of 5 stars. 5 reviews"
1632411311-8759,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post-it® Super Sticky Notes, 3"" x 3"", Rio de Janeiro, Pack Of 3 Pads4.8 out of 5 stars. 23 reviews"
1632411254-8422,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Flags   (127),https://www.officedepot.com/a/browse/sticky-flags/N=5+549835/,"SKILCRAFT® Self-Adhesive Repositionable Color Flags, 1/2"" x 1 3/4"", 35 Flags Per...4.0 out of 5 stars. 1 review"
1632411384-8960,https://www.officedepot.com/a/browse/paper/N=5+530715/,Photo & Presentation Paper   (552),https://www.officedepot.com/a/browse/photo-and-presentation-paper/N=5+530747/,Brochure & Presentation Paper   (73),https://www.officedepot.com/a/browse/brochure-and-presentation-paper/N=5+530748/,"Office Depot® Brand Multi-Use Paper, Legal Size (8 1/2"" x 14""), 20 Lb, White, Re...4.5 out of 5 stars. 149 reviews"
1632411055-7963,https://www.officedepot.com/a/browse/paper/N=5+530715/,Certificates & Covers   (225),https://www.officedepot.com/a/browse/certificates-and-covers/N=5+533805/,Award & Certificate Seals   (48),https://www.officedepot.com/a/browse/award-and-certificate-seals/N=5+533806/,"Geographics Gold Embossed Seals - 2"" Diameter - For Certificate, Note Card, Prop...3.0 out of 5 stars. 2 reviews"
1632411384-9005,https://www.officedepot.com/a/browse/paper/N=5+530715/,Photo & Presentation Paper   (552),https://www.officedepot.com/a/browse/photo-and-presentation-paper/N=5+530747/,Brochure & Presentation Paper   (73),https://www.officedepot.com/a/browse/brochure-and-presentation-paper/N=5+530748/,"HP Premium Poster Paper, 54"" x 200', White0.0 out of 5 stars."
1632411461-9137,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Craft & Tissue Paper   (41),https://www.officedepot.com/a/browse/craft-and-tissue-paper/N=5+530719/,"JAM Paper® Tissue Paper, 26""H x 20""W x 1/8""D, Gold, Pack Of 10 Sheets0.0 out of 5 stars."
1632411546-9637,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Canson 180-Degree Hardbound Sketchbook, 8 5/16"" x 11 11/16"", Black0.0 out of 5 stars."
1632411311-8649,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post-it® Super Sticky Notes, Assorted Sizes, Rio de Janeiro Collection, Lined an...4.8 out of 5 stars. 22 reviews"
1632410890-6750,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Petal Invitations, A7, 5"" x 7"", Teal, Pack Of 240"
1632410890-6793,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Folded Cards, A9, 5 1/2"" x 8 1/2"", Chocolate Brown, Pack Of 1,0000.0 out of 5 stars."
1632410890-7269,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A2, 4 1/4"" x 5 1/2"", Garnet Red, Pack Of 50"
1632410154-5592,https://www.officedepot.com/a/browse/paper/N=5+530715/,Cash Register & Thermal Rolls   (110),https://www.officedepot.com/a/browse/cash-register-and-thermal-rolls/N=5+530723/,Cash Register & Thermal Paper Rolls   (108),https://www.officedepot.com/a/browse/cash-register-and-thermal-paper-rolls/N=5+530724/,Panasonic® KX-FA135 Black Imaging Film Cartridge
1632411384-8968,https://www.officedepot.com/a/browse/paper/N=5+530715/,Photo & Presentation Paper   (552),https://www.officedepot.com/a/browse/photo-and-presentation-paper/N=5+530747/,Brochure & Presentation Paper   (73),https://www.officedepot.com/a/browse/brochure-and-presentation-paper/N=5+530748/,"Astrobrights® Color Paper, Letter Size (8 1/2"" x 11""), FSC® Certified, Terra Gre...5.0 out of 5 stars. 4 reviews"
1632410925-7392,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Place Cards & Tent Cards   (143),https://www.officedepot.com/a/browse/place-cards-and-tent-cards/N=5+530739/,"Azar Displays 2-Sided Acrylic Name Plates, 2"" x 6"", Clear, Pack Of 10 Name Plate...5.0 out of 5 stars. 1 review"
1632411581-9719,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Construction Paper   (160),https://www.officedepot.com/a/browse/construction-paper/N=5+530717/,"Tru-Ray® Construction Paper, 50% Recycled, 9"" x 12"", Yellow, Pack Of 500.0 out of 5 stars."
1632411787-9967,https://www.officedepot.com/a/browse/paper/N=5+530715/,Notebooks & Pads   (1264),https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741/,Telephone Message Pads & Voicemail Log Books   (35),https://www.officedepot.com/a/browse/telephone-message-pads-and-voicemail-log-books/N=5+551212/,"Adams® Phone Message Books, 11"" x 5 1/2"", 100 Pages, White/Canary Yellow, Pack O..."
1632411036-7813,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Design Paper   (136),https://www.officedepot.com/a/browse/design-paper/N=5+530736/,"Gartner™ Studios Design Paper, 8 1/2"" x 11"", 60 Lb, Multi-Dot, Pack Of 100 Sheet...4.7 out of 5 stars. 28 reviews"
1632410890-6881,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A1, 3 1/2"" x 4 7/8"", Sunflower Yellow, Pack Of 500.0 out of 5 stars."
1632411546-9238,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Pacon® Art1st® Tracing Pad, 9"" x 12"", 40 Sheets5.0 out of 5 stars. 4 reviews"
1632411653-9894,https://www.officedepot.com/a/browse/paper/N=5+530715/,Notebooks & Pads   (1264),https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741/,Notebook & Pad Deals,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741&cbxRefine=549384/,"Office Depot® Brand Stellar Poly Notebook, 8-1/2"" x 11"", 3 Subject, Wide Ruled, ..."
1632411311-8513,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post-it® Greener Notes, 3"" x 3"", Helsinki Color Collection, Pack Of 24 Pads4.8 out of 5 stars. 44 reviews"
1632411546-9397,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Canson Vidalon Tracing Vellum Pad, 14"" x 17"", Pack Of 50 Sheets0.0 out of 5 stars."
1632411004-7787,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Post Cards   (18),https://www.officedepot.com/a/browse/post-cards/N=5+530740/,"Top Notch Teacher Products Welcome To Kindergarten Postcards, 4 1/2"" x 6"", Multi...0.0 out of 5 stars."
1632411546-9368,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Staedtler® Plain Vellum Paper, 8 1/2"" x 11"", White, Pack Of 50 Sheets4.7 out of 5 stars. 3 reviews"
1632411546-9204,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Art Street® Art Paper Roll, 18"" x 75', White4.8 out of 5 stars. 38 reviews"
