web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632438054-32434,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 522 EcoFit High-Yield Cyan/Magenta/Yellow Ink Bottles, Pack Of 3, T522520..."
1632429756-28707,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Dell Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50561&promo_name=ink_and_toner&promo_id=ink_and_toner-dellinktoner-shopnow&promo_creative=ink_and_toner_dellinktoner&promo_position=inktonerv2-banner-ad8-inktonerv2&redirect=false,Dell™ C815K Cyan Toner Cartridge
1632429159-28375,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Ricoh Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50563&promo_name=ink_and_toner&promo_id=ink_and_toner-kodakinktoner-shopnow&promo_creative=ink_and_toner_kodakinktoner&promo_position=inktonerv2-banner-ad10-inktonerv2&redirect=false,Ricoh Y57265 Transfer Belt
1632438749-34746,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,HP Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50554&promo_name=ink_and_toner&promo_id=ink_and_toner-hpinktoner-shopnow&promo_creative=ink_and_toner_hpinktoner&promo_position=inktonerv2-banner-ad1-inktonerv2&redirect=false,HP 827A (CF301A) Cyan Toner Cartridge0.0 out of 5 stars.
1632438054-32784,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 87 UltraChrome™ Hi-Gloss® 2 Yellow Ink Cartridge, T087420"
1632438054-32699,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,Epson UltraChrome PRO 770 Original Ink Cartridge - Violet - Inkjet
1632433844-31508,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Canon Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50557&promo_name=ink_and_toner&promo_id=ink_and_toner-canoninktoner-shopnow&promo_creative=ink_and_toner_canoninktoner&promo_position=inktonerv2-banner-ad4-inktonerv2&redirect=false,Canon PGI-250XL High-Yield Black Ink Tank
1632432329-30409,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Samsung Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50558&promo_name=ink_and_toner&promo_id=ink_and_toner-samsunginktoner-shopnow&promo_creative=ink_and_toner_samsunginktoner&promo_position=inktonerv2-banner-ad5-inktonerv2&redirect=false,Samsung Y504 (CLT-Y504S) Yellow Toner Cartridge
1632438577-33611,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,"Brother® TN436 Series High-Yield Toner Cartridge, Yellow, TN436Y"
1632438054-32790,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 512 EcoTank High-Yield Cyan Ink Bottle, T512220-S"
1632431713-30362,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox Original Toner Cartridge - Yellow - Laser - High Yield - 2500 Pages - 1 Pa...
1632438577-33576,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,Brother® TN820 Black Toner Cartridge
1632431713-30157,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox 108R01016 Colorqube Ink Yellow Colorqube 8900 6 Sticks For Use in North Am...
1632429159-28277,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Ricoh Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50563&promo_name=ink_and_toner&promo_id=ink_and_toner-kodakinktoner-shopnow&promo_creative=ink_and_toner_kodakinktoner&promo_position=inktonerv2-banner-ad10-inktonerv2&redirect=false,Ricoh Original Toner Cartridge - Black - Laser - 12000 Pages - 1 Each
1632429756-28811,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Dell Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50561&promo_name=ink_and_toner&promo_id=ink_and_toner-dellinktoner-shopnow&promo_creative=ink_and_toner_dellinktoner&promo_position=inktonerv2-banner-ad8-inktonerv2&redirect=false,Dell Original Toner Cartridge - Cyan - Laser - High Yield - 12000 Pages
1632429756-28774,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Dell Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50561&promo_name=ink_and_toner&promo_id=ink_and_toner-dellinktoner-shopnow&promo_creative=ink_and_toner_dellinktoner&promo_position=inktonerv2-banner-ad8-inktonerv2&redirect=false,Dell™ R273N (D607R) Yellow Toner Cartridge
1632429159-28284,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Ricoh Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50563&promo_name=ink_and_toner&promo_id=ink_and_toner-kodakinktoner-shopnow&promo_creative=ink_and_toner_kodakinktoner&promo_position=inktonerv2-banner-ad10-inktonerv2&redirect=false,Ricoh SP C310A Cyan Toner Cartridge
1632430729-29804,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Lexmark Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50560&promo_name=ink_and_toner&promo_id=ink_and_toner-lexmarkinktoner-shopnow&promo_creative=ink_and_toner_lexmarkinktoner&promo_position=inktonerv2-banner-ad7-inktonerv2&redirect=false,Lexmark™ E250A41G Black Toner Cartridge
1632429756-28685,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Dell Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50561&promo_name=ink_and_toner&promo_id=ink_and_toner-dellinktoner-shopnow&promo_creative=ink_and_toner_dellinktoner&promo_position=inktonerv2-banner-ad8-inktonerv2&redirect=false,"Dell™ Drum Unit, Cyan, CD7Y3 (593-BBPG)"
1632438749-33893,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,HP Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50554&promo_name=ink_and_toner&promo_id=ink_and_toner-hpinktoner-shopnow&promo_creative=ink_and_toner_hpinktoner&promo_position=inktonerv2-banner-ad1-inktonerv2&redirect=false,"HP 950XL High-Yield Black And 951 Tri-Color Ink Cartridges (C2P01FNM), Pack Of 44.7 out of 5 stars. 7860 reviews"
1632438749-34445,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,HP Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50554&promo_name=ink_and_toner&promo_id=ink_and_toner-hpinktoner-shopnow&promo_creative=ink_and_toner_hpinktoner&promo_position=inktonerv2-banner-ad1-inktonerv2&redirect=false,"HP 125A 4-Color Toner Cartridge Set, Set Of 4 Cartridges"
1632429028-28143,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Office Depot Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50565&promo_name=ink_and_toner&promo_id=ink_and_toner-officedepotinktoner-shopnow&promo_creative=ink_and_toner_officedepotinktoner&promo_position=inktonerv2-banner-ad11-inktonerv2&redirect=false,Office Depot® Brand OD2025Y Remanufactured Yellow Toner Cartridge Replacement Fo...
1632433844-31509,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Canon Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50557&promo_name=ink_and_toner&promo_id=ink_and_toner-canoninktoner-shopnow&promo_creative=ink_and_toner_canoninktoner&promo_position=inktonerv2-banner-ad4-inktonerv2&redirect=false,Canon PG-260 XL Black Ink Cartridge
1632438749-34078,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,HP Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50554&promo_name=ink_and_toner&promo_id=ink_and_toner-hpinktoner-shopnow&promo_creative=ink_and_toner_hpinktoner&promo_position=inktonerv2-banner-ad1-inktonerv2&redirect=false,HP 312A Black Toner Cartridge (CF380A)4.6 out of 5 stars. 113 reviews
1632438749-34529,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,HP Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50554&promo_name=ink_and_toner&promo_id=ink_and_toner-hpinktoner-shopnow&promo_creative=ink_and_toner_hpinktoner&promo_position=inktonerv2-banner-ad1-inktonerv2&redirect=false,HP 746 Printhead (P2V25A)5.0 out of 5 stars. 1 review
1632430729-29341,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Lexmark Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50560&promo_name=ink_and_toner&promo_id=ink_and_toner-lexmarkinktoner-shopnow&promo_creative=ink_and_toner_lexmarkinktoner&promo_position=inktonerv2-banner-ad7-inktonerv2&redirect=false,Lexmark™ 80C1HY0 Return Program High-Yield Yellow Toner Cartridge
1632431713-30371,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,"Xerox 106R037 High-Yield Toner Cartridge, Magenta (XER106R03739)"
1632429028-28019,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Office Depot Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50565&promo_name=ink_and_toner&promo_id=ink_and_toner-officedepotinktoner-shopnow&promo_creative=ink_and_toner_officedepotinktoner&promo_position=inktonerv2-banner-ad11-inktonerv2&redirect=false,Office Depot® Brand OD55XX2 Remanufactured Black Toner Cartridge Replacement for...
