web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632112586-18,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Foil Stamped Labels,https://www.officedepot.com/a/browse/foil-stamped-labels/N=5+1212305/?cm_sp=copy_print_depot-_-labelsstickersfoilstamped_cpd_-_-category_labels-and-stickers--1212299_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfoilstamped-cpd&promo_creative=labelsstickersfoilstamped_cpd&promo_position=category_labels-and-stickers--1212299_main_1_7_0,"Custom 1-Color Foil-Stamped Labels And Stickers, 2-7/8"" x 3-3/4"" Oval, Box Of 50...0.0 out of 5 stars."
1632112751-415,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 2-Color Laser Sheet Labels And Stickers, 1"" x 2-5/8"" Rectangle, 30 Labels...0.0 out of 5 stars."
1632112607-59,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Decals,https://www.officedepot.com/a/browse/decals/N=5+1212304/?cm_sp=copy_print_depot-_-labelsstickersdecals_cpd_-_-category_labels-and-stickers--1212299_main_1_6_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersdecals-cpd&promo_creative=labelsstickersdecals_cpd&promo_position=category_labels-and-stickers--1212299_main_1_6_0,"Custom Printed Full-Color Window Decal Cling Labels And Stickers, 4"" x 5"" Rectan...0.0 out of 5 stars."
1632112751-299,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Foil-Embossed Labels And Stickers, 2-1/4"" Burst Shape, Box Of 500...0.0 out of 5 stars."
1632112695-216,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Full Color Labels & Stickers,https://www.officedepot.com/a/browse/full-color-labels-and-stickers/N=5+1212306/?cm_sp=copy_print_depot-_-labelsstickersfullcolor_cpd_-_-category_labels-and-stickers--1212299_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfullcolor-cpd&promo_creative=labelsstickersfullcolor_cpd&promo_position=category_labels-and-stickers--1212299_main_1_2_0,"Custom Full-Color Advertising Labels, Rectangle, 4"" x 6"", Roll Of 125 Labels0.0 out of 5 stars."
1632112751-328,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom Printed 3-Color Laser Sheet Labels And Stickers, 2-1/2"" x 4"" Rectangle, 8...0.0 out of 5 stars."
1632112751-407,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Taylor Food Container Take Out And Delivery Label Sticker Seals, 1-3/4"" x 6"", Pa...0.0 out of 5 stars."
1632112751-265,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Advertising Labels, Circle, 1/2"", Roll Of 250 Labels0.0 out of 5 stars."
1632112695-215,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Full Color Labels & Stickers,https://www.officedepot.com/a/browse/full-color-labels-and-stickers/N=5+1212306/?cm_sp=copy_print_depot-_-labelsstickersfullcolor_cpd_-_-category_labels-and-stickers--1212299_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfullcolor-cpd&promo_creative=labelsstickersfullcolor_cpd&promo_position=category_labels-and-stickers--1212299_main_1_2_0,"Custom Full-Color Round Advertising Labels, 3"", Roll Of 125 Labels0.0 out of 5 stars."
1632112586-33,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Foil Stamped Labels,https://www.officedepot.com/a/browse/foil-stamped-labels/N=5+1212305/?cm_sp=copy_print_depot-_-labelsstickersfoilstamped_cpd_-_-category_labels-and-stickers--1212299_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfoilstamped-cpd&promo_creative=labelsstickersfoilstamped_cpd&promo_position=category_labels-and-stickers--1212299_main_1_7_0,"Custom 1-Color Foil-Stamped Labels And Stickers, 1-1/8"" Circle, Box Of 500 Label...0.0 out of 5 stars."
1632112654-167,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Custom Mailing Labels,https://www.officedepot.com/a/browse/custom-mailing-labels/N=5+1212303/?cm_sp=copy_print_depot-_-labelsstickerscustommailing_cpd_-_-category_labels-and-stickers--1212299_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickerscustommailing-cpd&promo_creative=labelsstickerscustommailing_cpd&promo_position=category_labels-and-stickers--1212299_main_1_4_0,"Custom 1-Color Designer Mailing Labels, 2-15/16"" x 4"", Pin-Fed, Pack of 2500.0 out of 5 stars."
