web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632432344-31251,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 2-Mil Reclosable Poly Bags, 13"" x 15"", Case Of 1,000"
1632433990-32117,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Brand Durable Round-Ring View Binders, 1-1/2"", White, Pack Of 12 B..."
1632432344-30994,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 6 Mil Reclosable Poly Bags 14"" x 24"", Box of 250"
1632434037-32205,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Sheet Protectors,https://www.officedepot.com/a/browse/sheet-protectors/N=5+6555/,"Office Depot® Brand Business Card Binder Pages, 8 1/2"" x 11"", Clear, Pack Of 10"
1632432344-30734,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Flat Suffocation Warning Bags, 1 Mil, 14"" x 20"", Clear, 100/...0.0 out of 5 stars."
1632438444-32875,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand 2-Pocket Poly Folder with Prongs, Letter Size, Purple"
1632432344-31297,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 2-Mil White Block Reclosable Poly Bags, 4"" x 6"", Case Of 1,0..."
1632432344-30812,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Colored Reclosable Poly Bags, 2 mils, 3"" x 3"", Green, Case O...0.0 out of 5 stars."
1632429966-28967,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Spiral & Wireless Notebooks,https://www.officedepot.com/a/browse/spiral-and-wireless-notebooks/N=5+531010/,"Office Depot® Brand Premium Notebook, 8-1/2"" x 11"", College Ruled, 200 Pages (10..."
1632438444-32889,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand 2-Pocket Paper Folder with Prongs, Letter Size, Green"
