web-scraper-order,web-scraper-start-url,nn1
1631297282-109,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Twist-Erase® Express Mechanical Pencils, 0.9 mm, Smoke Barrel, Pack Of 1...4.9 out of 5 stars. 19 reviews"
1631297282-341,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,Pentel .7mm Twist-Erase Click Mechanical Pencil - #2 Lead - 0.7 mm Lead Diameter...4.1 out of 5 stars. 23 reviews
1631297282-97,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Quicker Clicker™ Mechanical Pencil, 0.7mm, #2 Lead, Transparent Blue Bar...4.8 out of 5 stars. 59 reviews"
1631297282-406,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Zebra Pen M-350 Mechanical Pencil - HB, #2 Lead - 0.7 mm Lead Diameter - Refilla...0.0 out of 5 stars."
1631297282-393,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,Pentel Sharp Kerry Mechanical Pencil - #2 Lead - 0.5 mm Lead Diameter - Refillab...4.9 out of 5 stars. 30 reviews
1631297282-320,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,Pentel 2S Combo Pen/Mechanical Pencil - 0.5 mm Lead Size - Black/Red Gel-based I...4.2 out of 5 stars. 6 reviews
1631297282-152,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Graph Gear 500™ Mechanical Drafting Pencils, 0.7 mm, Blue Barrel, Pack O...4.8 out of 5 stars. 69 reviews"
1631297282-479,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pilot® Dr. Grip Center of Gravity Mechanical Pencil, 0.7 mm, Charcoal Barrel4.6 out of 5 stars. 7 reviews"
1631297282-333,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Paper Mate® Profile™ Refillable Mechanical Pencils, 0.7 mm, Black Barrels, Pack ...0.0 out of 5 stars."
1631297282-403,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"TUL® Mechanical Pencils, 0.7 mm, Lime & Purple Barrels, Pack Of 2 Pencils4.8 out of 5 stars. 70 reviews"
1631297282-271,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Graph Gear 1000 Automatic Drafting Pencil, 0.5 mm, Gray4.4 out of 5 stars. 5 reviews"
1631297282-108,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Sharp™ Mechanical Pencil, 0.7mm, #2 Lead, Blue Barrel, Pack Of 24.9 out of 5 stars. 95 reviews"
1631297282-269,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Sharp® Mechanical Pencil Combo, 1.3mm, HB Lead, Blue Barrel4.7 out of 5 stars. 22 reviews"
1631297282-138,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Paper Mate® ClearPoint™ Mechanical Pencil Starter Set, 0.5 mm, Assorted Barrel C...4.8 out of 5 stars. 272 reviews"
1631297282-259,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Staedtler® Triplus Micro Mechanical Pencils, 1.3 mm, HB #2 Lead, Assorted Barrel...4.4 out of 5 stars. 7 reviews"
1631297282-90,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Twist-Erase® III Mechanical Pencils, 0.5mm, #2 Lead, Assorted Barrel Col...4.9 out of 5 stars. 147 reviews"
1631297282-419,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pilot G2 Mechanical Pencils - 0.7 mm Lead Diameter - Refillable - Black, Clear B...0.0 out of 5 stars."
1631297282-105,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Office Depot® Brand Mechanical Pencils With Comfort Grip, 0.7 mm, Black Barrel, ...4.9 out of 5 stars. 59 reviews"
1631297282-238,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Quicker-Clicker™ Mechanical Pencil, 0.9 mm, Transparent Red4.7 out of 5 stars. 31 reviews"
1631297282-436,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"SKILCRAFT® Push-Action Mechanical Pencils, 0.5 mm, Burgundy Barrel, Pack Of 12 (...0.0 out of 5 stars."
1631297282-340,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"uni-ball® Kura Toga Starter Set, 0.7 mm, Black/Gray5.0 out of 5 stars. 1 review"
1631297282-295,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"BIC® Velocity Max Mechanical Pencils, Medium Point, 0.7 mm, #2 HB Lead, Assorted...4.9 out of 5 stars. 2719 reviews"
1631297282-483,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Baumgartens® Twist'N Write™ PenAgain™ Pencils, 0.2 mm, Assorted Barrel Colors, 6...5.0 out of 5 stars. 1 review"
1631297282-190,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Zebra® M-301 Stainless Steel Mechanical Pencils, 0.5 mm, Pack Of 24.5 out of 5 stars. 82 reviews"
1631297282-157,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pilot® G-2® Mechanical Pencils, 0.5mm, #2 Lead, Clear Barrel, Pack Of 124.3 out of 5 stars. 7 reviews"
1631297282-98,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"TUL® Mechanical Pencils, 0.7 mm, Assorted Barrel Colors, Pack Of 6 Pencils5.0 out of 5 stars. 41 reviews"
1631297282-224,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"BIC® Xtra Comfort Mechanical Pencils, Assorted Barrel Colors, 0.7 mm, Pack Of 124.8 out of 5 stars. 75 reviews"
1631297282-145,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Automatic Sharp™ Mechanical Pencils, 0.5 mm, Black, Pack Of 24.9 out of 5 stars. 132 reviews"
1631297282-251,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Pentel® Twist-Erase® CLICK Mechanical Pencils, Fine Point, 0.5mm, HB Hardness, 5...4.7 out of 5 stars. 32 reviews"
1631297282-461,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Monteverde® One Touch Tool Pencil, 0.9 mm, #2 Soft, Yellow Barrel, Black Lead0.0 out of 5 stars."
1631297282-448,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"BIC® Ecolutions™ Xtra-Life Mechanical Pencils, 65% Recycled, Assorted Barrel Col...5.0 out of 5 stars. 2 reviews"
1631297282-173,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Paper Mate® ComfortMate Ultra™ Mechanical Pencil Starter Set, 0.7mm, HB Lead, As...4.6 out of 5 stars. 95 reviews"
1631297282-471,https://www.officedepot.com/a/browse/mechanical-pencils/N=5+4510/,"Rite In The Rain All Weather Mechanical Pencils, 1.1 mm, Red, Pack Of 6 Pencils0.0 out of 5 stars."
