web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289413-721,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462087/,Graphic Design Studio2.0 out of 5 stars. 2 reviews
1632289591-932,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Video Editing Software,https://www.officedepot.com/a/browse/video-editing-software/N=5+1462074/,Nero Platinum Unlimited (Windows)5.0 out of 5 stars. 1 review
1632289504-786,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Tax Preparation Software,https://www.officedepot.com/a/browse/tax-preparation-software/N=5+1462083/,"H&R Block 2020, Premium, For PC, Download (Windows)4.2 out of 5 stars. 13 reviews"
1632289537-874,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop Enterprise 2021, Gold, For 5 Users, 1-Year Subscript...0.0 out of 5 stars."
1632289656-1002,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Voice Recognition Software,https://www.officedepot.com/a/browse/voice-recognition-software/N=5+1462067/,"Nuance® Dragon® Professional Individual, v15, Disc4.8 out of 5 stars. 4 reviews"
1632289673-1026,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Document Management,https://www.officedepot.com/a/browse/document-management/N=5+1462063/,"Readiris PDF 17, 1 License, OCR/PDF, For Mac®1.0 out of 5 stars. 1 review"
1632289673-1013,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Document Management,https://www.officedepot.com/a/browse/document-management/N=5+1462063/,Adobe Acrobat Pro 2020 Student & Teacher (Mac)4.0 out of 5 stars. 5 reviews
1632289615-957,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Photo Editing Software,https://www.officedepot.com/a/browse/photo-editing-software/N=5+1462073/,Avanquest Software Photo Explosion Deluxe 5 (Windows)5.0 out of 5 stars. 1 review
1632289615-963,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Photo Editing Software,https://www.officedepot.com/a/browse/photo-editing-software/N=5+1462073/,Corel ParticleShop Brush Plug-In0.0 out of 5 stars.
1632289537-869,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop Enterprise 2021, Silver, For 1 User, 1-Year Subscrip...0.0 out of 5 stars."
